Month,Curiosities
Junho,"… a professora brasileira Heley de Abreu Silva Batista, que morreu após salvar a vida de seus alunos durante o massacre de Janaúba, recebeu, a título post mortem, a Ordem Nacional do Mérito?"
Junho,"… o acidente do voo Aeroflot 593, que matou todas as 75 pessoas a bordo, ocorreu após o filho do comandante, de 15 anos, desabilitar indevidamente o piloto automático?"
Junho,"… uma das quatro chaminés do RMS Titanic não era ligada às suas caldeiras, servindo para ventilação e ornamento para mostrar mais imponência?"
Junho,"… apesar de projetado para ter um ano de vida útil, o primeiro satélite brasileiro, Satélite de Coleta de Dados 1, detém o recorde de maior tempo de operação de um satélite?"
Junho,"… Porto Alegre é a cidade brasileira que enfrentou o cerco contínuo mais longo da história do Brasil, durando mais de quatro anos, o que lhe rendeu o título de ""Leal e Valerosa""?"
Junho,"… por não possuírem pálpebras, as lagartixas hidratam seus olhos com a língua?"
Junho,"… a fotografia de Gabriel Medina saltando de uma onda nos Jogos Olímpicos de 2024 ficou conhecida como The Golden Moment (""o momento de ouro"") e se tornou um símbolo dessa olimpíada?"
Junho,… a probabilidade de morrer no dia do seu aniversário ou próximo a ele é maior do que em outras datas?
Junho,"… um raro registro em movimento de Santos Dumont em conversa com Charles Rolls, em 1901, foi descoberto por acaso, mais de um século depois, dentro de um mutoscópio no Museu do Ipiranga?"
Junho,… o Satellaview foi um acessório para o Super Famicom que permitia o download de jogos e outros conteúdos através de transmissões via satélite?
Maio,"… a Zeitpyramide, uma obra de arte pública iniciada em 1993, está programada para ser concluída no ano 3183?"
Maio,"… em maio de 1939, quase mil judeus que fugiam do regime nazista a bordo do MS St. Louis em direção à América tiveram que atravessar novamente o Atlântico em direção à Europa?"
Maio,"… durante as tempestades, as descargas elétricas provenientes dos raios são capazes de quebrar as fortes ligações existentes entre as moléculas de nitrogênio presentes no ar, transformando a água das chuvas em um fertilizante natural?"
Maio,… a Batalha de Tuiuti foi a maior batalha campal do continente sul-americano?
Maio,"… apesar de a banda japonesa Supercell possuir onze integrantes, somente um deles produz as músicas, e os demais são ilustradores e designers?"
Maio,"… o sistema de escrita nüshu, ininteligível para os homens, foi inventado por mulheres chinesas para permitir que elas se comunicassem entre si?"
Maio,"… no século XVIII, o ketchup era principalmente feito de cogumelos?"
Maio,"… o Brasil é um dos maiores produtores de carne equina do mundo, mas seu consumo é culturalmente pouco aceito no mercado interno, por se tratar de um tabu alimentar?"
Maio,"… no século XVII, a França teve uma colônia no Texas, que durou apenas três anos?"
Maio,… o Rio Congo é o único rio do mundo que cruza a Linha do equador duas vezes?
Maio,… um usuário anônimo no fórum de discussão 4chan resolveu um problema matemático em um tópico sobre em qual ordem assistir os episódios do anime A Melancolia de Haruhi Suzumiya?
Maio,… até 1918 as apostas sobre o resultado de eleições papais eram puníveis por excomunhão?
Maio,"… no complexo vulcânico de Ijen, localizado na Indonésia, ocorre um fenômeno conhecido como ""lava azul""?"
Maio,"… fundada no ano de 1919, nos primórdios da aviação, a KLM é a mais antiga companhia aérea comercial ainda em atividade?"
Maio,"… uma igreja foi construída no interior das minas de sal de Zipaquirá, na Savana de Bogotá, Colômbia?"
Maio,"… o comerciante de cobre Ea Nasir, de Ur na Mesopotâmia, foi alvo de memes mais de 3 000 anos depois de sua morte após a descoberta de uma reclamação sobre a qualidade de seu produto?"
Maio,"… a cidade uruguaia de Colônia do Sacramento foi fundada como um assentamento português por Manuel Lobo, então governador da Capitania Real do Rio de Janeiro, em 1680?"
Maio,"… o Chelsea Football Club foi fundado décadas após a construção de seu estádio, Stamford Bridge, pelos donos do local, porque nenhum clube jogava lá?"
Maio,"… durante a Operação Bernhard, plano da Alemanha Nazista para falsificar notas bancárias britânicas, estima-se que foram produzidas pelo menos 132 610 945 libras esterlinas?"
Abril,"… apesar de haver até o Papa João XXIII na lista de Papas, o João XX nunca existiu?"
Abril,"… Northwest Angle é uma singularidade na fronteira Canadá–Estados Unidos, sendo a única parte dos Estados Unidos contíguos acima do paralelo 49 N?"
Abril,"… o monumento Supercuia, que exibe cuias de chimarrão em homenagem à cultura do Rio Grande do Sul, é chamado popularmente de maneira jocosa de ""Supertetas"" ou ""Rótula da COVID-19"", devido à sua composição artística lembrar tanto seios quanto a representação do coronavírus, responsável pela pandemia de COVID-19?"
Abril,"… o jogo Doom já foi adaptado por programadores para rodar em diversas plataformas, inclusive em testes de gravidez, caixas eletrônicos e calculadoras?"
Abril,"… até o final do século XIX, o logograma ""&"" era considerado como uma letra do alfabeto inglês?"
Abril,"… devido à destruição deliberada de documentos empreendida pela SS, o número exato de mortos no campo de concentração de Auschwitz durante o Holocausto é impossível de ser determinado?"
Abril,"… Margarida dos Países Baixos nasceu em Ottawa, Canadá, mas a maternidade de seu hospital foi temporariamente declarada extraterritorial pelo governo canadense, de modo a assegurar que a princesa recebesse exclusivamente a cidadania neerlandesa?"
Abril,"… em 1974, a aeronave militar SR-71 Blackbird fez um voo de Nova Iorque a Londres com velocidade média superior a 2 900 km/h, percorrendo a distância de 5 570 km em apenas 1 hora, 54 minutos e 56,4 segundos?"
Abril,"… uma linhagem de células imortais de Henrietta Lacks, morta em 1951, é reproduzida em laboratórios até a atualidade para pesquisas?"
Abril,"… das supostas amantes de Adolf Hitler, três cometeram suicidio e uma quarta, Unity Mitford, tentou se matar?"
Abril,"… a adelfopoiese, cerimônia tradicional cristã para unir duas pessoas do mesmo sexo em um relacionamento análogo à irmandade, gerou controvérsia quando um historiador a considerou uma forma de matrimônio homossexual?"
Abril,"… durante o regime de António de Oliveira Salazar em Portugal, as pessoas precisavam de uma licença especial para poderem usar isqueiros?"
Abril,"… matematicamente, o número decimal 0,999... é exatamente igual ao número inteiro 1?"
Abril,… duas comunidades de chimpanzés travaram uma guerra de quatro anos em um parque nacional na Tanzânia?
Abril,… o porta-aviões japonês Shinano é o maior navio na história afundado por um submarino?
Março,"… apesar de um armistício ter interrompido a Guerra da Coreia em 1953, nenhum tratado de paz foi celebrado pelas duas Coreias, que continuam em estado de beligerância?"
Março,… o RMS Olympic foi o único navio mercante a afundar um submarino alemão durante a Primeira Guerra Mundial?
Março,"… as mandíbulas de formigas do gênero Odontomachus podem chegar a 230 km/h, fechando-se em 130 microssegundos?"
Março,"… o personagem Odorico Paraguaçu, um dos mais icônicos da televisão brasileira, foi inspirado no político Carlos Lacerda e expõe com ironia a demagogia dos políticos?"
Março,"… para aumentar a resistência do terreno e possibilitar a construção da pista de pouso do Aeroporto de Lukla, Edmund Hillary forneceu bebidas alcoólicas para incentivar os sherpas a realizarem  danças tradicionais no local?"
Março,"… partes do Muro de Berlim estão espalhadas por mais de 40 países, incluindo os Estados Unidos, onde um fragmento está exposto na Sede das Nações Unidas, em Nova Iorque?"
Março,"… em 1 de dezembro de 2005, o obelisco de Buenos Aires foi adornado como um preservativo, em comemoração ao Dia Mundial de Combate à AIDS?"
Março,"… o álbum The Dark Side of the Moon, do Pink Floyd, permaneceu quase 1000 semanas na Billboard 200, sendo o álbum recordista de duração na parada musical?"
Março,"… apesar de o Grande Incêndio de Londres, em 1666, ter destruído cerca de 80% da cidade, apenas seis mortes foram documentadas, devido à falta de registros precisos da época?"
Março,"… no século XIX, experimentos no estômago aberto de Alexis St. Martin, que sobreviveu a um tiro à queima-roupa, contribuíram para o entendimento da digestão?"
Março,"… a palavra nerd foi originalmente usada em 1950 por Dr. Seuss num dos seus livros para descrever uma criatura fictícia, antes de se tornar um termo associado a pessoas com grande interesse em tecnologia e informática?"
Fevereiro,"… Pando, uma colônia clonal da espécie Populus tremuloides, é um um único organismo que ocupa 43 hectares e pesa 6 615 toneladas, o que faz dela a maior árvore do mundo e o ser vivo mais pesado da Terra?"
Fevereiro,… a extração de uma pedra no crânio era uma prática disseminada nos séculos XVI e XVII para supostamente curar a loucura?
Fevereiro,"… em 2013, ao realizar um show na Base Carlini, Antártida Argentina, a banda de heavy metal Metallica entrou para o Guinness World Records como a primeira banda a se apresentar em todos os continentes?"
Fevereiro,"… uma coincidência cultural chamada ""The Dark Side of the Rainbow"" ocorre ao reproduzir simultaneamente o álbum The Dark Side of the Moon (1973) da banda Pink Floyd e o filme The Wizard of Oz (1939), o que ocasiona em inúmeros momentos de aparente sincronicidade entre as mudanças de ritmo, letra e melodia do álbum e as cenas do filme?"
Fevereiro,"… o álbum de estreia do Guns N' Roses, Appetite for Destruction, é o álbum de estreia mais vendido da história, com mais de 30 milhões de cópias mundialmente?"
Fevereiro,"… o Distrito Federal do Brasil é quase um enclave do estado de Goiás, possuindo apenas uma pequena divisa com Minas Gerais, que liga a região administrativa de Paranoá ao município de Cabeceira Grande?"
Fevereiro,… o Talibã e o Estado Islâmico são grupos terroristas rivais no Afeganistão?
Fevereiro,"… antes de oferecer serviço de streaming, a Netflix foi a primeira loja de aluguel online de DVDs do mundo?"
Fevereiro,… a invasão da Ucrânia pela Rússia é considerada o maior conflito militar da Europa desde a Segunda Guerra Mundial?
Fevereiro,… Severnaia Zemlia é o último arquipélago da Terra a ser descoberto?
Fevereiro,"… a Arménia, durante a Idade Antiga como reino, se tornou, em 301, o primeiro país a adotar o cristianismo como religião de Estado?"
Fevereiro,"… a rã-da-floresta consegue sobreviver ao congelamento, permanecendo sem batimentos cardíacos nem respiração durante o inverno, emergindo da hibernação na primavera?"
Fevereiro,"… o porquinho-da-índia não é originário da Índia e sim dos Andes, na América do Sul?"
Fevereiro,"… a Lâmpada Centenária, criada por Adolphe Alexandre Chaillet e mantida pelo Corpo de Bombeiros de Livermore-Pleasanton, na Califórnia, é a lâmpada incandescente mais antiga do mundo ainda em funcionamento, acesa desde 1901?"
Janeiro,"… a Grande Barreira de Coral, na costa nordeste da Austrália, é o maior recife de coral e a maior estrutura do mundo feita unicamente por organismos vivos, podendo ser vista do espaço sideral?"
Janeiro,… é possível morrer de tanto rir?
Janeiro,"… na Grécia Antiga, inventou-se um mecanismo chamado hisplex para evitar falsas partidas no atletismo?"
Janeiro,"… embora tenha sido uma das idealizadoras da Academia Brasileira de Letras, a escritora Júlia Lopes de Almeida foi excluída da lista de fundadores e substituída por seu marido, Filinto de Almeida, para que a instituição permanecesse exclusivamente masculina?"
Janeiro,"… embora seja a sede mundial do catolicismo monoteísta, o nome do Estado do Vaticano deriva de Vaticanus, uma das divindades da religião etrusca politeísta?"
Janeiro,… a maior omelete já feita levou 145 mil ovos e pesava 6 466 quilos?
Janeiro,"… o Canal do Cassiquiare  faz com que a porção da Venezuela localizada a leste do rio Orinoco, parte da região Norte do Brasil e a totalidade dos territórios das Guianas formem a segunda maior ilha do mundo?"
Janeiro,… há registros de neve no deserto do Saara?
Janeiro,… Emilio Palma é a primeira pessoa a nascer no continente antártico?
Janeiro,"… mesmo sendo alvo de um atentado durante um ato político e com uma bala alojada no peito, Theodore Roosevelt manteve seus compromissos de campanha e até realizou um discurso?"
Janeiro,"… quando o artista estadunidense Michael Jackson morreu, o radialista homônimo teve sua estrela da Calçada da Fama de Hollywood erroneamente homenageada pelos fãs do artista?"
Janeiro,"… o salgado joelho, tradicional da Região Metropolitana do Rio de Janeiro, teria recebido este nome porque, supostamente, ficava abaixo das coxinhas (logo, joelhos) nas vitrines das lanchonetes e padarias?"
Janeiro,"… em 1850, um aparelho chamado bússola pasilalínica-simpática foi criado na tentativa de realizar comunicação telegráfica por meio de uma suposta telepatia de caracóis?"
Janeiro,… apenas cinco mulheres disputaram até hoje corridas oficiais da Fórmula 1 e apenas uma pontuou?
Janeiro,"… em 2017, o aplicativo móvel da Rádio Paradiso, do Rio de Janeiro, passou a impor uma ""multa sonora"" a motoristas que ultrapassam o limite de velocidade, substituindo a programação por um minuto do programa estatal A Voz do Brasil?"
